local_date,forecast_high_c
2025-06-09,77.8
2025-06-10,87.3
2025-06-11,86.8
2025-06-12,87.4
2025-06-13,85.1
2025-06-14,92.4
2025-06-15,92.6
2026-05-10,68.2
2026-05-11,83.9
2026-05-12,77.7
2026-05-13,89.1
2026-05-14,84.9
2026-05-15,82.2
2026-05-16,75.3
2026-05-17,66.0
2026-05-18,44.1
2026-05-19,49.7
2026-05-20,54.1
2026-05-21,70.9
2026-05-22,62.9
2026-05-23,74.2
2026-05-24,81.9
2026-05-25,81.6
2026-05-26,78.4
2026-05-27,65.8
2026-05-28,76.1
2026-05-29,83.2
2026-05-30,74.2
2026-05-31,78.2
2026-06-01,76.7
2026-06-02,74.9
2026-06-03,78.5
2026-06-04,87.0
2026-06-05,87.7
2026-06-06,90.4
2026-06-07,91.9
2026-06-08,89.1
2026-06-09,91.8
2026-06-10,88.7
2026-06-11,79.1
2026-06-12,77.5
2026-06-13,70.9
2026-06-14,81.4
2026-06-15,75.2
