local_date,forecast_high_c
2025-06-09,70.4
2025-06-10,78.0
2025-06-11,91.4
2025-06-12,77.9
2025-06-13,70.0
2025-06-14,73.6
2025-06-15,80.4
2026-05-10,65.2
2026-05-11,57.0
2026-05-12,73.9
2026-05-13,62.9
2026-05-14,68.0
2026-05-15,75.0
2026-05-16,83.5
2026-05-17,86.0
2026-05-18,79.1
2026-05-19,78.8
2026-05-20,61.8
2026-05-21,58.6
2026-05-22,67.3
2026-05-23,72.5
2026-05-24,78.2
2026-05-25,84.6
2026-05-26,85.0
2026-05-27,83.7
2026-05-28,72.0
2026-05-29,85.9
2026-05-30,73.1
2026-05-31,75.8
2026-06-01,72.7
2026-06-02,75.0
2026-06-03,84.0
2026-06-04,86.6
2026-06-05,78.4
2026-06-06,84.7
2026-06-07,84.8
2026-06-08,84.2
2026-06-09,91.0
2026-06-10,94.8
2026-06-11,93.3
2026-06-12,82.4
2026-06-13,76.0
2026-06-14,75.0
2026-06-15,78.9
