local_date,forecast_high_c
2025-06-09,87.2
2025-06-10,81.0
2025-06-11,76.3
2025-06-12,80.1
2025-06-13,87.7
2025-06-14,88.9
2025-06-15,81.5
2026-05-10,75.9
2026-05-11,74.8
2026-05-12,80.6
2026-05-13,86.1
2026-05-14,84.1
2026-05-15,81.6
2026-05-16,82.2
2026-05-17,83.7
2026-05-18,84.8
2026-05-19,84.7
2026-05-20,80.3
2026-05-21,75.6
2026-05-22,83.6
2026-05-23,80.0
2026-05-24,84.5
2026-05-25,83.5
2026-05-26,83.4
2026-05-27,81.6
2026-05-28,84.5
2026-05-29,87.6
2026-05-30,86.4
2026-05-31,88.4
2026-06-01,89.5
2026-06-02,90.6
2026-06-03,85.2
2026-06-04,83.6
2026-06-05,82.2
2026-06-06,85.2
2026-06-07,84.0
2026-06-08,95.1
2026-06-09,95.3
2026-06-10,94.7
2026-06-11,96.6
2026-06-12,98.6
2026-06-13,95.5
2026-06-14,88.0
2026-06-15,92.2
