snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c,model_lte_83c,market_yes_lte_83c,market_no_lte_83c,edge_lte_83c,best_bid_lte_83c,best_ask_lte_83c,last_lte_83c,model_eq_84c,market_yes_eq_84c,market_no_eq_84c,edge_eq_84c,best_bid_eq_84c,best_ask_eq_84c,last_eq_84c,model_eq_86c,market_yes_eq_86c,market_no_eq_86c,edge_eq_86c,best_bid_eq_86c,best_ask_eq_86c,last_eq_86c,model_eq_88c,market_yes_eq_88c,market_no_eq_88c,edge_eq_88c,best_bid_eq_88c,best_ask_eq_88c,last_eq_88c,model_eq_90c,market_yes_eq_90c,market_no_eq_90c,edge_eq_90c,best_bid_eq_90c,best_ask_eq_90c,last_eq_90c,model_eq_92c,market_yes_eq_92c,market_no_eq_92c,edge_eq_92c,best_bid_eq_92c,best_ask_eq_92c,last_eq_92c,model_eq_94c,market_yes_eq_94c,market_no_eq_94c,edge_eq_94c,best_bid_eq_94c,best_ask_eq_94c,last_eq_94c,model_eq_96c,market_yes_eq_96c,market_no_eq_96c,edge_eq_96c,best_bid_eq_96c,best_ask_eq_96c,last_eq_96c,model_eq_98c,market_yes_eq_98c,market_no_eq_98c,edge_eq_98c,best_bid_eq_98c,best_ask_eq_98c,last_eq_98c,model_eq_100c,market_yes_eq_100c,market_no_eq_100c,edge_eq_100c,best_bid_eq_100c,best_ask_eq_100c,last_eq_100c,model_gte_102c,market_yes_gte_102c,market_no_gte_102c,edge_gte_102c,best_bid_gte_102c,best_ask_gte_102c,last_gte_102c
20260610T020430-0400,2026-06-10T06:04:30.980864+00:00,2026-06-10T02:04:30.980864-04:00,highest-temperature-in-denver-on-june-10-2026,2026-06-10T05:49:59.579371Z,v0.5.1 HGBC feature-based ML model,82,0.13157166571206763,,,,,79.0,82.0,,0.8860916720284484,0.0165,0.9835,0.8695916720284484,0.011,0.022,0.02,0.08186661435749391,0.0425,0.9575,0.03936661435749391,0.022,0.063,0.018,0.02562967503663276,0.185,0.815,-0.15937032496336723,0.14,0.23,0.19,0.005608893550138263,0.405,0.595,-0.39939110644986175,0.38,0.43,0.43,0.0007421292545401905,0.31,0.69,-0.3092578707454598,0.3,0.32,0.32,5.822189753791898e-05,0.075,0.925,-0.07494177810246208,0.07,0.08,0.12,2.7183155343303116e-06,0.011,0.989,-0.01099728168446567,0.01,0.012,0.052,7.432602565223116e-08,0.003,0.997,-0.0029999256739743478,0.002,0.004,0.009,1.2218444359546297e-09,0.001,0.999,-0.000999998778155564,,0.002,,1.180417806066458e-11,0.0015,0.9985,-0.001499999988195822,0.001,0.002,,0,0.0015,0.9985,-0.0015,0.001,0.002,
20260610T021449-0400,2026-06-10T06:14:49.582843+00:00,2026-06-10T02:14:49.582843-04:00,highest-temperature-in-denver-on-june-10-2026,2026-06-10T05:59:51.906217Z,v0.5.1 HGBC feature-based ML model,81,0.1513240245089337,,65.0,90.0,,79.0,82.0,,0.8751276700006995,0.0165,0.9835,0.8586276700006995,0.011,0.022,0.02,0.09014625239477028,0.036,0.964,0.054146252394770285,0.022,0.05,0.018,0.027105308994808525,0.18,0.82,-0.15289469100519146,0.14,0.22,0.19,0.006784959007201612,0.45,0.55,-0.4432150409927984,0.42,0.48,0.43,0.0007735359216536577,0.31,0.69,-0.30922646407834636,0.3,0.32,0.32,5.937969008038731e-05,0.075,0.925,-0.0749406203099196,0.07,0.08,0.12,2.8172045389332152e-06,0.011,0.989,-0.010997182795461066,0.01,0.012,0.052,7.553649380029478e-08,0.003,0.997,-0.0029999244635061997,0.002,0.004,0.009,1.2374339381556053e-09,0.0005,0.9995,-0.0004999987625660618,,0.001,,1.2319243410592773e-11,0.0005,0.9995,-0.0004999999876807566,,0.001,,0,0.0015,0.9985,-0.0015,0.001,0.002,
20260610T022500-0400,2026-06-10T06:25:00.940847+00:00,2026-06-10T02:25:00.940847-04:00,highest-temperature-in-denver-on-june-10-2026,2026-06-10T06:19:56.240788Z,v0.5.1 HGBC feature-based ML model,81,0.16192245425705035,,66.0,90.0,,79.0,82.0,,0.874525737049875,0.0155,0.9845,0.8590257370498751,0.011,0.02,0.02,0.09175789809221743,0.0295,0.9705,0.062257898092217434,0.021,0.038,0.018,0.02689544632138084,0.16,0.84,-0.13310455367861918,0.13,0.19,0.19,0.005977389955450927,0.455,0.545,-0.4490226100445491,0.43,0.48,0.43,0.0007809610663354662,0.31,0.69,-0.30921903893366454,0.3,0.32,0.32,5.964823555538181e-05,0.075,0.925,-0.07494035176444462,0.07,0.08,0.12,2.838191168391163e-06,0.011,0.989,-0.010997161808831608,0.01,0.012,0.052,7.970004402246099e-08,0.003,0.997,-0.0029999202999559777,0.002,0.004,0.009,1.3682871632125964e-09,0.0005,0.9995,-0.0004999986317128368,,0.001,,1.968536398670263e-11,0.0005,0.9995,-0.000499999980314636,,0.001,,0,0.0015,0.9985,-0.0015,0.001,0.002,
20260610T093739-0400,2026-06-10T13:37:39.526149+00:00,2026-06-10T09:37:39.526149-04:00,highest-temperature-in-denver-on-june-10-2026,2026-06-10T13:25:43.867115Z,v0.5.5 HGBC feature-based ML model,88,0.32410211598336625,,62.0,62.0,,87.0,86.4,,0.08146117072654951,0.035,0.965,0.04646117072654951,0.015,0.055,0.052,0.14088705786201372,0.0395,0.9605,0.10138705786201371,0.014,0.065,0.055,0.2930845445392578,0.155,0.845,0.1380845445392578,0.13,0.18,0.21,0.39354717990682037,0.4,0.6,-0.0064528200931796564,0.38,0.42,0.41,0.06831042750935715,0.235,0.765,-0.16668957249064284,0.19,0.28,0.27,0.01916115614328074,0.05,0.95,-0.030838843856719263,0.03,0.07,0.07,0.0032117663257337243,0.014,0.986,-0.010788233674266276,0.01,0.018,0.052,0.000317663574333632,0.0025,0.9975,-0.002182336425666368,0.002,0.003,0.009,1.848616327263709e-05,0.001,0.999,-0.000981513836727363,,0.002,,5.472493809817361e-07,0.001,0.999,-0.0009994527506190182,,0.002,,0,0.001,0.999,-0.001,,0.002,
20260610T094754-0400,2026-06-10T13:47:54.005499+00:00,2026-06-10T09:47:54.005499-04:00,highest-temperature-in-denver-on-june-10-2026,2026-06-10T13:37:08.693369Z,v0.5.5 HGBC feature-based ML model,87,0.2540638180613385,,64.0,64.0,,87.0,86.4,,0.09828380732662909,0.0335,0.9665,0.06478380732662908,0.012,0.055,0.011,0.16279043462646656,0.04,0.96,0.12279043462646655,0.015,0.065,0.055,0.4051551642728289,0.155,0.845,0.2501551642728289,0.13,0.18,0.21,0.24281108189667666,0.405,0.595,-0.16218891810332337,0.39,0.42,0.41,0.06820830347853236,0.225,0.775,-0.15679169652146763,0.19,0.26,0.27,0.01920007982516852,0.05,0.95,-0.030799920174831484,0.03,0.07,0.07,0.0032142778085599015,0.0135,0.9865,-0.010285722191440099,0.01,0.017,0.052,0.0003178109775089931,0.0025,0.9975,-0.002182189022491007,0.002,0.003,0.009,1.8492360591209695e-05,0.0005,0.9995,-0.0004815076394087903,,0.001,,5.474270381855264e-07,0.0005,0.9995,-0.0004994525729618144,,0.001,,0,0.0005,0.9995,-0.0005,,0.001,
20260610T095808-0400,2026-06-10T13:58:08.837153+00:00,2026-06-10T09:58:08.837153-04:00,highest-temperature-in-denver-on-june-10-2026,2026-06-10T13:52:20.694208Z,v0.5.5 HGBC feature-based ML model,87,0.2540638180613385,,64.0,64.0,,87.0,86.4,,0.09828380732662909,0.0395,0.9605,0.058783807326629085,0.024,0.055,0.011,0.16279043462646656,0.04,0.96,0.12279043462646655,0.015,0.065,0.055,0.4051551642728289,0.16,0.84,0.24515516427282888,0.14,0.18,0.21,0.24281108189667666,0.405,0.595,-0.16218891810332337,0.39,0.42,0.41,0.06820830347853236,0.225,0.775,-0.15679169652146763,0.19,0.26,0.27,0.01920007982516852,0.05,0.95,-0.030799920174831484,0.03,0.07,0.07,0.0032142778085599015,0.0135,0.9865,-0.010285722191440099,0.01,0.017,0.052,0.0003178109775089931,0.0025,0.9975,-0.002182189022491007,0.002,0.003,0.009,1.8492360591209695e-05,0.0005,0.9995,-0.0004815076394087903,,0.001,,5.474270381855264e-07,0.0005,0.9995,-0.0004994525729618144,,0.001,,0,0.0005,0.9995,-0.0005,,0.001,
20260610T100827-0400,2026-06-10T14:08:27.977946+00:00,2026-06-10T10:08:27.977946-04:00,highest-temperature-in-denver-on-june-10-2026,2026-06-10T13:57:07.358371Z,v0.5.5 HGBC feature-based ML model,88,0.33589722987636916,,65.0,65.0,,87.0,86.9,,0.06910426247930503,0.0315,0.9685,0.037604262479305026,0.023,0.04,0.011,0.1336953351631558,0.0395,0.9605,0.09419533516315579,0.015,0.064,0.055,0.27820680424527633,0.155,0.845,0.12320680424527633,0.13,0.18,0.21,0.4151590049244381,0.405,0.595,0.010159004924438053,0.39,0.42,0.41,0.07674136540900085,0.225,0.775,-0.14825863459099914,0.19,0.26,0.27,0.022677808516173,0.05,0.95,-0.027322191483827002,0.03,0.07,0.07,0.003980021410211747,0.0135,0.9865,-0.009519978589788253,0.01,0.017,0.052,0.00040993207719165184,0.0025,0.9975,-0.002090067922808348,0.002,0.003,0.009,2.4713045428116874e-05,0.0005,0.9995,-0.00047528695457188313,,0.001,,7.527298193764927e-07,0.0005,0.9995,-0.0004992472701806235,,0.001,,0,0.0005,0.9995,-0.0005,,0.001,
20260610T101841-0400,2026-06-10T14:18:41.418608+00:00,2026-06-10T10:18:41.418608-04:00,highest-temperature-in-denver-on-june-10-2026,2026-06-10T14:09:32.504098Z,v0.5.5 HGBC feature-based ML model,88,0.3355754279052643,,65.0,65.0,,87.0,86.9,,0.06931883297136558,0.0315,0.9685,0.03781883297136558,0.023,0.04,0.011,0.13376447778315753,0.0395,0.9605,0.09426447778315752,0.015,0.064,0.055,0.2782458713872762,0.16,0.84,0.11824587138727619,0.14,0.18,0.17,0.41483312892699803,0.4,0.6,0.014833128926998007,0.38,0.42,0.41,0.07674428585804931,0.225,0.775,-0.1482557141419507,0.19,0.26,0.27,0.022677963746073553,0.05,0.95,-0.02732203625392645,0.03,0.07,0.07,0.003980040777313522,0.013,0.987,-0.009019959222686478,0.01,0.016,0.017,0.0004099327195159021,0.003,0.997,-0.002590067280484098,0.002,0.004,0.003,2.4713098629300794e-05,0.0005,0.9995,-0.0004752869013706992,,0.001,,7.527316210581448e-07,0.0005,0.9995,-0.0004992472683789419,,0.001,,0,0.0005,0.9995,-0.0005,,0.001,
20260610T102855-0400,2026-06-10T14:28:55.586159+00:00,2026-06-10T10:28:55.586159-04:00,highest-temperature-in-denver-on-june-10-2026,2026-06-10T14:19:04.070959Z,v0.5.5 HGBC feature-based ML model,88,0.30604712887636043,,66.0,66.0,,87.0,86.9,,0.07024667690774097,0.0365,0.9635,0.033746676907740976,0.033,0.04,0.04,0.13553893904550196,0.04,0.96,0.09553893904550195,0.016,0.064,0.04,0.3035650857932893,0.16,0.84,0.14356508579328928,0.14,0.18,0.17,0.38710898048856235,0.41,0.59,-0.022891019511437627,0.38,0.44,0.44,0.07645595264393765,0.225,0.775,-0.14854404735606236,0.19,0.26,0.25,0.022668446875113983,0.045,0.955,-0.022331553124886015,0.03,0.06,0.05,0.003980501798732541,0.013,0.987,-0.009019498201267458,0.01,0.016,0.017,0.0004099503204994784,0.003,0.997,-0.0025900496795005215,0.002,0.004,0.003,2.4713384239964972e-05,0.0005,0.9995,-0.00047528661576003503,,0.001,,7.527423820857204e-07,0.0005,0.9995,-0.0004992472576179143,,0.001,,0,0.0005,0.9995,-0.0005,,0.001,
20260610T103906-0400,2026-06-10T14:39:06.932203+00:00,2026-06-10T10:39:06.932203-04:00,highest-temperature-in-denver-on-june-10-2026,2026-06-10T14:28:45.519562Z,v0.5.5 HGBC feature-based ML model,88,0.31664044581996714,,68.0,68.0,,87.0,86.9,,0.07202771153920509,0.0355,0.9645,0.036527711539205095,0.031,0.04,0.04,0.13843761212637554,0.04,0.96,0.09843761212637553,0.016,0.064,0.04,0.29132781703062327,0.16,0.84,0.13132781703062327,0.15,0.17,0.17,0.3942392428843159,0.405,0.595,-0.010760757115684139,0.39,0.42,0.44,0.07685108223517484,0.23,0.77,-0.15314891776482517,0.2,0.26,0.25,0.022698021394612043,0.045,0.955,-0.022301978605387955,0.03,0.06,0.05,0.003982955443167792,0.013,0.987,-0.009017044556832207,0.01,0.016,0.017,0.00041009025812125543,0.003,0.997,-0.0025899097418787447,0.002,0.004,0.003,2.471432064157207e-05,0.0005,0.9995,-0.00047528567935842795,,0.001,,7.52767762711669e-07,0.0005,0.9995,-0.0004992472322372883,,0.001,,0,0.0005,0.9995,-0.0005,,0.001,
