market,hour,change_native,count,requested_date_hours,reports_per_requested_date_hour
austin,1,2to4,1,114,0.008771929824561403
austin,1,ge4,0,114,0.0
austin,1,unknown,0,114,0.0
austin,2,lt1,19,114,0.16666666666666666
austin,2,1to2,2,114,0.017543859649122806
austin,2,2to4,0,114,0.0
austin,2,ge4,0,114,0.0
austin,2,unknown,0,114,0.0
austin,3,lt1,22,114,0.19298245614035087
austin,3,1to2,4,114,0.03508771929824561
austin,3,2to4,0,114,0.0
austin,3,ge4,0,114,0.0
austin,3,unknown,0,114,0.0
austin,4,lt1,25,114,0.21929824561403508
austin,4,1to2,7,114,0.06140350877192982
austin,4,2to4,0,114,0.0
austin,4,ge4,0,114,0.0
austin,4,unknown,0,114,0.0
austin,5,lt1,22,114,0.19298245614035087
austin,5,1to2,10,114,0.08771929824561403
austin,5,2to4,1,114,0.008771929824561403
austin,5,ge4,0,114,0.0
austin,5,unknown,0,114,0.0
austin,6,lt1,26,114,0.22807017543859648
austin,6,1to2,7,114,0.06140350877192982
austin,6,2to4,2,114,0.017543859649122806
austin,6,ge4,1,114,0.008771929824561403
austin,6,unknown,0,114,0.0
austin,7,lt1,18,114,0.15789473684210525
austin,7,1to2,16,114,0.14035087719298245
austin,7,2to4,1,114,0.008771929824561403
austin,7,ge4,0,114,0.0
austin,7,unknown,0,114,0.0
austin,8,lt1,16,114,0.14035087719298245
austin,8,1to2,11,114,0.09649122807017543
austin,8,2to4,4,114,0.03508771929824561
austin,8,ge4,1,114,0.008771929824561403
austin,8,unknown,0,114,0.0
austin,9,lt1,11,114,0.09649122807017543
austin,9,1to2,16,114,0.14035087719298245
austin,9,2to4,10,114,0.08771929824561403
austin,9,ge4,1,114,0.008771929824561403
austin,9,unknown,0,114,0.0
austin,10,lt1,7,114,0.06140350877192982
austin,10,1to2,10,114,0.08771929824561403
austin,10,2to4,5,114,0.043859649122807015
austin,10,ge4,0,114,0.0
austin,10,unknown,0,114,0.0
austin,11,lt1,4,114,0.03508771929824561
austin,11,1to2,7,114,0.06140350877192982
austin,11,2to4,2,114,0.017543859649122806
austin,11,ge4,0,114,0.0
austin,11,unknown,0,114,0.0
austin,12,lt1,1,114,0.008771929824561403
austin,12,1to2,3,114,0.02631578947368421
austin,12,2to4,1,114,0.008771929824561403
austin,12,ge4,1,114,0.008771929824561403
austin,12,unknown,0,114,0.0
austin,13,lt1,3,114,0.02631578947368421
austin,13,1to2,0,114,0.0
austin,13,2to4,0,114,0.0
austin,13,ge4,1,114,0.008771929824561403
austin,13,unknown,0,114,0.0
austin,14,lt1,0,114,0.0
austin,14,1to2,2,114,0.017543859649122806
austin,14,2to4,1,114,0.008771929824561403
austin,14,ge4,0,114,0.0
austin,14,unknown,0,114,0.0
austin,15,lt1,2,114,0.017543859649122806
austin,15,1to2,4,114,0.03508771929824561
austin,15,2to4,2,114,0.017543859649122806
austin,15,ge4,2,114,0.017543859649122806
austin,15,unknown,0,114,0.0
austin,16,lt1,3,114,0.02631578947368421
austin,16,1to2,0,114,0.0
austin,16,2to4,1,114,0.008771929824561403
austin,16,ge4,2,114,0.017543859649122806
austin,16,unknown,0,114,0.0
austin,17,lt1,1,114,0.008771929824561403
austin,17,1to2,6,114,0.05263157894736842
austin,17,2to4,3,114,0.02631578947368421
austin,17,ge4,3,114,0.02631578947368421
austin,17,unknown,0,114,0.0
austin,18,lt1,5,114,0.043859649122807015
austin,18,1to2,2,114,0.017543859649122806
austin,18,2to4,1,114,0.008771929824561403
austin,18,ge4,2,114,0.017543859649122806
austin,18,unknown,0,114,0.0
austin,19,lt1,3,114,0.02631578947368421
austin,19,1to2,6,114,0.05263157894736842
austin,19,2to4,2,114,0.017543859649122806
austin,19,ge4,3,114,0.02631578947368421
austin,19,unknown,0,114,0.0
austin,20,lt1,1,114,0.008771929824561403
austin,20,1to2,2,114,0.017543859649122806
austin,20,2to4,0,114,0.0
austin,20,ge4,1,114,0.008771929824561403
austin,20,unknown,0,114,0.0
austin,21,lt1,2,114,0.017543859649122806
austin,21,1to2,1,114,0.008771929824561403
austin,21,2to4,0,114,0.0
austin,21,ge4,0,114,0.0
austin,21,unknown,0,114,0.0
austin,22,lt1,1,114,0.008771929824561403
austin,22,1to2,1,114,0.008771929824561403
austin,22,2to4,0,114,0.0
austin,22,ge4,0,114,0.0
austin,22,unknown,0,114,0.0
austin,23,lt1,2,114,0.017543859649122806
austin,23,1to2,2,114,0.017543859649122806
austin,23,2to4,0,114,0.0
austin,23,ge4,0,114,0.0
austin,23,unknown,0,114,0.0
chicago,0,lt1,19,114,0.16666666666666666
chicago,0,1to2,1,114,0.008771929824561403
chicago,0,2to4,0,114,0.0
chicago,0,ge4,0,114,0.0
chicago,0,unknown,0,114,0.0
chicago,1,lt1,20,114,0.17543859649122806
chicago,1,1to2,2,114,0.017543859649122806
chicago,1,2to4,1,114,0.008771929824561403
chicago,1,ge4,0,114,0.0
chicago,1,unknown,0,114,0.0
chicago,2,lt1,17,114,0.14912280701754385
chicago,2,1to2,6,114,0.05263157894736842
chicago,2,2to4,0,114,0.0
chicago,2,ge4,0,114,0.0
chicago,2,unknown,0,114,0.0
chicago,3,lt1,22,114,0.19298245614035087
chicago,3,1to2,5,114,0.043859649122807015
chicago,3,2to4,0,114,0.0
chicago,3,ge4,0,114,0.0
chicago,3,unknown,0,114,0.0
chicago,4,lt1,14,114,0.12280701754385964
chicago,4,1to2,7,114,0.06140350877192982
chicago,4,2to4,0,114,0.0
chicago,4,ge4,0,114,0.0
chicago,4,unknown,0,114,0.0
chicago,5,lt1,25,114,0.21929824561403508
chicago,5,1to2,4,114,0.03508771929824561
chicago,5,2to4,2,114,0.017543859649122806
chicago,5,ge4,0,114,0.0
chicago,5,unknown,0,114,0.0
chicago,6,lt1,22,114,0.19298245614035087
chicago,6,1to2,8,114,0.07017543859649122
chicago,6,2to4,0,114,0.0
chicago,6,ge4,0,114,0.0
chicago,6,unknown,0,114,0.0
chicago,7,lt1,20,114,0.17543859649122806
chicago,7,1to2,6,114,0.05263157894736842
chicago,7,2to4,1,114,0.008771929824561403
chicago,7,ge4,0,114,0.0
chicago,7,unknown,0,114,0.0
chicago,8,lt1,17,114,0.14912280701754385
chicago,8,1to2,7,114,0.06140350877192982
chicago,8,2to4,0,114,0.0
chicago,8,ge4,0,114,0.0
chicago,8,unknown,0,114,0.0
chicago,9,lt1,17,114,0.14912280701754385
chicago,9,1to2,10,114,0.08771929824561403
chicago,9,2to4,1,114,0.008771929824561403
chicago,9,ge4,0,114,0.0
chicago,9,unknown,0,114,0.0
chicago,10,lt1,18,114,0.15789473684210525
chicago,10,1to2,7,114,0.06140350877192982
chicago,10,2to4,0,114,0.0
chicago,10,ge4,0,114,0.0
chicago,10,unknown,0,114,0.0
chicago,11,lt1,16,114,0.14035087719298245
chicago,11,1to2,9,114,0.07894736842105263
chicago,11,2to4,2,114,0.017543859649122806
chicago,11,ge4,1,114,0.008771929824561403
chicago,11,unknown,0,114,0.0
chicago,12,lt1,13,114,0.11403508771929824
chicago,12,1to2,7,114,0.06140350877192982
chicago,12,2to4,2,114,0.017543859649122806
chicago,12,ge4,1,114,0.008771929824561403
chicago,12,unknown,0,114,0.0
chicago,13,lt1,20,114,0.17543859649122806
chicago,13,1to2,11,114,0.09649122807017543
chicago,13,2to4,5,114,0.043859649122807015
chicago,13,ge4,2,114,0.017543859649122806
chicago,13,unknown,0,114,0.0
chicago,14,lt1,10,114,0.08771929824561403
chicago,14,1to2,10,114,0.08771929824561403
chicago,14,2to4,2,114,0.017543859649122806
chicago,14,ge4,0,114,0.0
chicago,14,unknown,0,114,0.0
chicago,15,lt1,10,114,0.08771929824561403
chicago,15,1to2,3,114,0.02631578947368421
chicago,15,2to4,0,114,0.0
chicago,15,ge4,1,114,0.008771929824561403
chicago,15,unknown,0,114,0.0
chicago,16,lt1,5,114,0.043859649122807015
chicago,16,1to2,4,114,0.03508771929824561
chicago,16,2to4,0,114,0.0
