market,definition,bin,grid_rows,p_mean,observed,cell_gap,gap_low,gap_high,date_clusters,market_clusters
atlanta,all,0,1144,0.018394648829431436,0.0,-0.018394648829431436,-0.01839464882943144,-0.018394648829431433,22,1
atlanta,all,1,44,0.19565217391304346,0.09090909090909091,-0.10474308300395258,-0.1956521739130435,0.03162055335968381,22,1
atlanta,all,2,44,0.21195652173913046,0.09090909090909091,-0.1210474308300395,-0.21195652173913046,0.015316205533596866,22,1
atlanta,all,4,88,0.451086956521739,0.36363636363636365,-0.0874505928853755,-0.26926877470355737,0.09436758893280629,22,1
atlanta,all,6,88,0.6630434782608694,0.7272727272727273,0.06422924901185773,-0.11758893280632407,0.24604743083003958,22,1
atlanta,all,9,616,0.9860248447204969,0.9935064935064936,0.007481648785996611,-0.005505364201016375,0.013975155279503104,22,1
atlanta,hourly,0,1144,0.018596787827557058,0.0,-0.018596787827557065,-0.018596787827557065,-0.018596787827557058,22,1
atlanta,hourly,2,88,0.20879120879120877,0.09090909090909091,-0.11788211788211789,-0.20879120879120883,0.01848151848151847,22,1
atlanta,hourly,4,88,0.47252747252747257,0.36363636363636365,-0.10889110889110888,-0.29070929070929075,0.07292707292707293,22,1
atlanta,hourly,6,88,0.6703296703296705,0.7272727272727273,0.05694305694305701,-0.12487512487512484,0.2387612387612388,22,1
atlanta,hourly,9,616,0.9874411302982732,0.9935064935064936,0.006065363208220353,-0.006921649778792636,0.012558869701726849,22,1
austin,all,0,1092,0.003715034965034965,0.0,-0.003715034965034964,-0.003715034965034966,-0.003715034965034964,21,1
austin,all,1,84,0.10227272727272724,0.0,-0.10227272727272727,-0.10227272727272728,-0.10227272727272727,21,1
austin,all,2,84,0.20454545454545447,0.13095238095238096,-0.07359307359307361,-0.20454545454545453,0.08116883116883113,21,1
austin,all,5,84,0.5681818181818183,0.6666666666666666,0.09848484848484841,-0.09199134199134211,0.28896103896103886,21,1
austin,all,9,588,0.987012987012987,0.9931972789115646,0.0061842918985776174,-0.00742115027829313,0.012987012987012991,21,1
austin,hourly,0,1092,0.0034965034965034965,0.0,-0.0034965034965034956,-0.0034965034965034965,-0.0034965034965034956,21,1
austin,hourly,1,84,0.10227272727272724,0.0,-0.10227272727272727,-0.10227272727272728,-0.10227272727272727,21,1
austin,hourly,2,84,0.20454545454545447,0.09523809523809523,-0.10930735930735933,-0.20454545454545456,0.03354978354978353,21,1
austin,hourly,5,84,0.5681818181818183,0.6666666666666666,0.09848484848484841,-0.09199134199134211,0.28896103896103886,21,1
