local_date,forecast_high_c
2025-06-09,68.3
2025-06-10,72.0
2025-06-11,68.7
2025-06-12,70.6
2025-06-13,71.4
2025-06-14,72.6
2025-06-15,74.9
2026-05-10,68.9
2026-05-11,65.5
2026-05-12,66.5
2026-05-13,68.8
2026-05-14,68.9
2026-05-15,67.9
2026-05-16,68.5
2026-05-17,67.7
2026-05-18,70.6
2026-05-19,73.9
2026-05-20,76.7
2026-05-21,70.6
2026-05-22,66.8
2026-05-23,66.7
2026-05-24,67.6
2026-05-25,69.0
2026-05-26,68.0
2026-05-27,66.1
2026-05-28,67.8
2026-05-29,67.6
2026-05-30,69.6
2026-05-31,71.1
2026-06-01,71.4
2026-06-02,69.0
2026-06-03,69.2
2026-06-04,70.5
2026-06-05,69.4
2026-06-06,71.3
2026-06-07,70.2
2026-06-08,71.9
2026-06-09,72.1
2026-06-10,74.8
2026-06-11,74.9
2026-06-12,73.9
2026-06-13,75.7
2026-06-14,78.0
2026-06-15,78.2
