local_date,forecast_high_c
2025-06-09,64.3
2025-06-10,63.2
2025-06-11,61.5
2025-06-12,62.5
2025-06-13,65.7
2025-06-14,65.9
2025-06-15,67.3
2026-05-10,63.9
2026-05-11,74.5
2026-05-12,62.5
2026-05-13,64.2
2026-05-14,67.9
2026-05-15,66.5
2026-05-16,66.5
2026-05-17,71.3
2026-05-18,79.6
2026-05-19,83.4
2026-05-20,79.0
2026-05-21,75.3
2026-05-22,69.8
2026-05-23,69.2
2026-05-24,69.1
2026-05-25,64.2
2026-05-26,63.6
2026-05-27,69.6
2026-05-28,66.8
2026-05-29,61.7
2026-05-30,65.8
2026-05-31,71.3
2026-06-01,75.8
2026-06-02,65.5
2026-06-03,70.0
2026-06-04,67.1
2026-06-05,72.6
2026-06-06,62.8
2026-06-07,68.5
2026-06-08,67.9
2026-06-09,74.2
2026-06-10,83.0
2026-06-11,90.1
2026-06-12,89.7
2026-06-13,91.8
2026-06-14,90.9
2026-06-15,85.2
