local_date,wu_source,wu_max_c,wu_bucket_c,wu_times,wu_row_count,swob_max_c,swob_bucket_c,swob_times,swob_row_count,temp_diff_c,abs_temp_diff_c,bucket_diff_c,exact_bucket_match,swob_exceeds_wu,swob_misses_wu,swob_reached_wu_final,swob_first_reach_time,wu_first_max_time,lead_minutes
2026-05-26,wu_daily_summary,28.0,28,18:00,23,28.2,28,17:00,24,0.2,0.2,0,True,True,False,True,15:00,18:00,180
2026-05-27,snapshot_history_high,25.0,25,,12,25.4,25,17:00,23,0.4,0.4,0,True,True,False,True,16:00,,
