snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,source,forecast_kind,issue_time,issue_time_basis,valid_time,horizon_minutes,target_temp_c,forecast_high_c,cloud_cover,wind_speed_kmh,condition,source_url,payload_hash,is_changed
20260610T093744-0400,2026-06-10T13:37:44.816249+00:00,2026-06-10T09:37:44.816249-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,weather_forecast,hourly,2026-06-10T09:37:44.816249-04:00,capture_fallback,2026-06-10T18:00:00-07:00,682,68,,1,21,Sunny/Wind,https://api.weather.com/v3/wx/forecast/hourly/15day,0633a4bf2b6e55f0b4cadc0b602d577556a18ade0abac8f4566b48d70bc994b7,true
20260610T093744-0400,2026-06-10T13:37:44.816249+00:00,2026-06-10T09:37:44.816249-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:37:44.816249-04:00,capture_fallback,2026-06-10T07:00:00-07:00,22,56.0,,0,0.4,solar 88.0 W/m2,https://api.open-meteo.com/v1/forecast,bb663c5341b1da89a7f862bca3e2576e90d7094cb12262d162feb6ac8ef6e816,true
20260610T093744-0400,2026-06-10T13:37:44.816249+00:00,2026-06-10T09:37:44.816249-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:37:44.816249-04:00,capture_fallback,2026-06-10T08:00:00-07:00,82,61.8,,0,2.1,solar 273.0 W/m2,https://api.open-meteo.com/v1/forecast,1e79cb1a3eb9070971d0ec8a01a960c6f4d4b23d0cc119777ce74bef15893e63,true
20260610T093744-0400,2026-06-10T13:37:44.816249+00:00,2026-06-10T09:37:44.816249-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:37:44.816249-04:00,capture_fallback,2026-06-10T09:00:00-07:00,142,67.5,,8,2.2,solar 473.0 W/m2,https://api.open-meteo.com/v1/forecast,9b7444c13117007c3f80a023e1b4c9d83129f16c6d1eb4637fecf3c8615bc7b8,true
20260610T093744-0400,2026-06-10T13:37:44.816249+00:00,2026-06-10T09:37:44.816249-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:37:44.816249-04:00,capture_fallback,2026-06-10T10:00:00-07:00,202,73.3,,4,3.1,solar 664.0 W/m2,https://api.open-meteo.com/v1/forecast,751e3d8a9f7034865d14b3d8a743660208f4ebcc18d5d3c64d24405ad6324251,true
20260610T093744-0400,2026-06-10T13:37:44.816249+00:00,2026-06-10T09:37:44.816249-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:37:44.816249-04:00,capture_fallback,2026-06-10T11:00:00-07:00,262,77.1,,15,8.9,solar 825.0 W/m2,https://api.open-meteo.com/v1/forecast,b1b9701577ca6df91bd6d3e19edee0f660a5340b88a36744cd58de93f6f099b1,true
20260610T093744-0400,2026-06-10T13:37:44.816249+00:00,2026-06-10T09:37:44.816249-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:37:44.816249-04:00,capture_fallback,2026-06-10T12:00:00-07:00,322,78.6,,2,15.9,solar 944.0 W/m2,https://api.open-meteo.com/v1/forecast,3b8258341bfb1822a0d04c64ecbfe312afc86b7d84c604efdf29d343525a5eb6,true
20260610T093744-0400,2026-06-10T13:37:44.816249+00:00,2026-06-10T09:37:44.816249-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:37:44.816249-04:00,capture_fallback,2026-06-10T13:00:00-07:00,382,78.7,,0,18.7,solar 1010.0 W/m2,https://api.open-meteo.com/v1/forecast,8258c9ec0c572c29903b415b057919ed9a312d126decbd75dc958a9c4051615e,true
20260610T093744-0400,2026-06-10T13:37:44.816249+00:00,2026-06-10T09:37:44.816249-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:37:44.816249-04:00,capture_fallback,2026-06-10T14:00:00-07:00,442,78.5,,0,20.8,solar 1019.0 W/m2,https://api.open-meteo.com/v1/forecast,bac2e2cff35840bc7bc08900a112aa22cdc37755c99ea61186cd5d7448f0de2e,true
20260610T093744-0400,2026-06-10T13:37:44.816249+00:00,2026-06-10T09:37:44.816249-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:37:44.816249-04:00,capture_fallback,2026-06-10T15:00:00-07:00,502,78.4,,0,22.7,solar 960.0 W/m2,https://api.open-meteo.com/v1/forecast,be4c0716d636bd89188ca17d3752438e42ced8de015d811067a8c393adbaf64b,true
20260610T093744-0400,2026-06-10T13:37:44.816249+00:00,2026-06-10T09:37:44.816249-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:37:44.816249-04:00,capture_fallback,2026-06-10T16:00:00-07:00,562,77.9,,0,24.1,solar 854.0 W/m2,https://api.open-meteo.com/v1/forecast,64bdeec2fb2b6b9d86cbeee0b4adf1b02f4b18abe0ba97f2602a3b80d37231c6,true
20260610T093744-0400,2026-06-10T13:37:44.816249+00:00,2026-06-10T09:37:44.816249-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:37:44.816249-04:00,capture_fallback,2026-06-10T17:00:00-07:00,622,76.6,,0,25.8,solar 697.0 W/m2,https://api.open-meteo.com/v1/forecast,36e1d907bba18f54aa3a9f1aa08c0fa1a5bbd586bdc65a9c7659a79c0559c5b4,true
20260610T093744-0400,2026-06-10T13:37:44.816249+00:00,2026-06-10T09:37:44.816249-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,open_meteo,hourly,2026-06-10T09:37:44.816249-04:00,capture_fallback,2026-06-10T18:00:00-07:00,682,74.5,,0,25.2,solar 506.0 W/m2,https://api.open-meteo.com/v1/forecast,62e41c32049e0f5e0ce8b6d3f6d869d3ec4c7056d9d6c3b77423c060ceaa570a,true
20260610T094800-0400,2026-06-10T13:48:00.301516+00:00,2026-06-10T09:48:00.301516-04:00,highest-temperature-in-san-francisco-on-june-10-2026,2026-06-10,weather_forecast,hourly,2026-06-10T09:48:00.301516-04:00,capture_fallback,2026-06-10T07:00:00-07:00,12,56,,25,7,Mostly Sunny,https://api.weather.com/v3/wx/forecast/hourly/15day,d0eae0b25cddd3bf9a9fb1c23e648a7117d446d21bf36d5bc559817b6a1e513c,true
