local_date,forecast_high_c
2025-06-09,17.6
2025-06-10,23.7
2025-06-11,29.9
2025-06-12,33.1
2025-06-13,26.6
2025-06-14,19.8
2025-06-15,17.7
2026-05-10,23.2
2026-05-11,17.2
2026-05-12,20.0
2026-05-13,21.7
2026-05-14,19.4
2026-05-15,19.5
2026-05-16,25.5
2026-05-17,31.7
2026-05-18,30.3
2026-05-19,34.6
2026-05-20,34.7
2026-05-21,19.9
2026-05-22,20.5
2026-05-23,14.5
2026-05-24,14.2
2026-05-25,23.4
2026-05-26,27.4
2026-05-27,29.4
2026-05-28,25.6
2026-05-29,25.5
2026-05-30,20.3
2026-05-31,25.4
2026-06-01,21.2
2026-06-02,25.9
2026-06-03,29.2
2026-06-04,30.4
2026-06-05,33.7
2026-06-06,33.4
2026-06-07,28.8
2026-06-08,27.1
2026-06-09,30.7
2026-06-10,32.0
2026-06-11,28.9
2026-06-12,28.1
2026-06-13,33.4
2026-06-14,35.9
2026-06-15,22.7
