local_date,forecast_high_c
2025-06-09,96.3
2025-06-10,91.5
2025-06-11,87.3
2025-06-12,78.5
2025-06-13,92.6
2025-06-14,91.6
2025-06-15,94.1
2026-05-10,88.4
2026-05-11,79.6
2026-05-12,83.4
2026-05-13,87.9
2026-05-14,88.4
2026-05-15,88.6
2026-05-16,87.4
2026-05-17,85.6
2026-05-18,90.3
2026-05-19,90.7
2026-05-20,84.0
2026-05-21,81.6
2026-05-22,86.8
2026-05-23,83.4
2026-05-24,87.9
2026-05-25,86.8
2026-05-26,86.5
2026-05-27,75.9
2026-05-28,89.1
2026-05-29,89.8
2026-05-30,88.0
2026-05-31,88.8
2026-06-01,91.1
2026-06-02,91.4
2026-06-03,86.8
2026-06-04,84.5
2026-06-05,84.9
2026-06-06,90.1
2026-06-07,91.6
2026-06-08,92.7
2026-06-09,94.7
2026-06-10,89.4
2026-06-11,95.1
2026-06-12,97.0
2026-06-13,97.0
2026-06-14,92.7
2026-06-15,96.6
