local_date,forecast_high_c
2025-06-09,85.8
2025-06-10,80.3
2025-06-11,68.6
2025-06-12,64.9
2025-06-13,61.5
2025-06-14,65.9
2025-06-15,70.5
2026-05-10,65.9
2026-05-11,71.4
2026-05-12,82.0
2026-05-13,59.0
2026-05-14,59.6
2026-05-15,50.6
2026-05-16,55.6
2026-05-17,60.0
2026-05-18,65.6
2026-05-19,63.6
2026-05-20,66.9
2026-05-21,75.5
2026-05-22,76.1
2026-05-23,64.9
2026-05-24,70.6
2026-05-25,60.2
2026-05-26,61.9
2026-05-27,73.6
2026-05-28,80.1
2026-05-29,57.5
2026-05-30,63.1
2026-05-31,66.9
2026-06-01,75.7
2026-06-02,84.2
2026-06-03,67.9
2026-06-04,66.8
2026-06-05,60.6
2026-06-06,58.4
2026-06-07,62.8
2026-06-08,61.8
2026-06-09,64.2
2026-06-10,64.7
2026-06-11,70.4
2026-06-12,77.4
2026-06-13,85.4
2026-06-14,96.7
2026-06-15,97.1
