schema_version,event_slug,market_id,city,target_date,settlement_high,settlement_bucket,settlement_unit,winning_band,winning_band_kind,winning_band_value,winning_band_value_hi,settlement_source,quality_grade,quality_reason,snapshot_count,band_count,row_count,coverage_clean,capture_ratio,max_gap_minutes,coverage_reason,resolution_source_type,resolution_wu_history_id,resolution_station,resolution_timezone,daily_max_window,rounding,daily_summary_path,snapshot_tape_path,ledger_path,polymarket_url,gamma_event_url,reconciliation_status,polymarket_winning_band,note,finalized_at_utc
settlement_ledger_v1,highest-temperature-in-miami-on-june-9-2026,miami,Miami,2026-06-09,88.0,88,F,88-89°F,eq,88,89,snapshot_high,partial,"collection coverage incomplete: 3 gap(s), max 379 min",100,11,1100,False,0.6993006993006993,378.5644972333333,"3 gap(s), max 379 min",wunderground_history,KMIA:9:US,KMIA,America/New_York,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\kmia\daily\daily_summary.csv,data\snapshots\highest-temperature-in-miami-on-june-9-2026\snapshots_long.csv,data\settlements\miami\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-miami-on-june-9-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-miami-on-june-9-2026,match,88-89 F,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-nyc-on-june-6-2026,nyc,NYC,2026-06-06,91.0,91,F,90-91°F,eq,90,91,daily_summary,partial,"collection coverage incomplete: 3 gap(s), max 228 min; afternoon window not fully covered (captured 14:32-23:50)",34,11,374,False,0.6071428571428571,227.95173815,"3 gap(s), max 228 min; afternoon window not fully covered (captured 14:32-23:50)",wunderground_history,KLGA:9:US,KLGA,America/New_York,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\klga\daily\daily_summary.csv,data\snapshots\highest-temperature-in-nyc-on-june-6-2026\snapshots_long.csv,data\settlements\nyc\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-nyc-on-june-6-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-nyc-on-june-6-2026,match,90-91 F,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-nyc-on-june-7-2026,nyc,NYC,2026-06-07,81.0,81,F,80-81°F,eq,80,81,daily_summary,complete,complete enough for headline scoring,140,11,1540,True,0.9790209790209791,10.0,ok,wunderground_history,KLGA:9:US,KLGA,America/New_York,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\klga\daily\daily_summary.csv,data\snapshots\highest-temperature-in-nyc-on-june-7-2026\snapshots_long.csv,data\settlements\nyc\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-nyc-on-june-7-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-nyc-on-june-7-2026,match,80-81 F,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-nyc-on-june-8-2026,nyc,NYC,2026-06-08,74.0,74,F,74-75°F,eq,74,75,snapshot_high,partial,"collection coverage incomplete: 2 gap(s), max 21 min",138,11,1518,False,0.9583333333333334,20.9484372,"2 gap(s), max 21 min",wunderground_history,KLGA:9:US,KLGA,America/New_York,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\klga\daily\daily_summary.csv,data\snapshots\highest-temperature-in-nyc-on-june-8-2026\snapshots_long.csv,data\settlements\nyc\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-nyc-on-june-8-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-nyc-on-june-8-2026,match,74-75 F,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-nyc-on-june-9-2026,nyc,NYC,2026-06-09,80.0,80,F,80-81°F,eq,80,81,snapshot_high,partial,"collection coverage incomplete: 3 gap(s), max 379 min",100,11,1100,False,0.6993006993006993,378.5409466,"3 gap(s), max 379 min",wunderground_history,KLGA:9:US,KLGA,America/New_York,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\klga\daily\daily_summary.csv,data\snapshots\highest-temperature-in-nyc-on-june-9-2026\snapshots_long.csv,data\settlements\nyc\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-nyc-on-june-9-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-nyc-on-june-9-2026,match,80-81 F,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-san-francisco-on-june-6-2026,san-francisco,San Francisco,2026-06-06,63.0,63,F,62-63°F,eq,62,63,daily_summary,partial,collection coverage incomplete: afternoon window not fully covered (captured 20:04-02:54),41,11,451,False,1.0,10.0,afternoon window not fully covered (captured 20:04-02:54),wunderground_history,KSFO:9:US,KSFO,America/Los_Angeles,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\ksfo\daily\daily_summary.csv,data\snapshots\highest-temperature-in-san-francisco-on-june-6-2026\snapshots_long.csv,data\settlements\san-francisco\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-san-francisco-on-june-6-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-san-francisco-on-june-6-2026,match,62-63 F,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-san-francisco-on-june-7-2026,san-francisco,San Francisco,2026-06-07,67.0,67,F,66-67°F,eq,66,67,daily_summary,complete,complete enough for headline scoring,140,11,1540,True,0.9722222222222222,10.0,ok,wunderground_history,KSFO:9:US,KSFO,America/Los_Angeles,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\ksfo\daily\daily_summary.csv,data\snapshots\highest-temperature-in-san-francisco-on-june-7-2026\snapshots_long.csv,data\settlements\san-francisco\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-san-francisco-on-june-7-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-san-francisco-on-june-7-2026,match,66-67 F,,2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-san-francisco-on-june-8-2026,san-francisco,San Francisco,2026-06-08,64.0,64,F,64-65°F,eq,64,65,snapshot_high,partial,"collection coverage incomplete: 2 gap(s), max 21 min",134,11,1474,False,0.9571428571428572,20.98240881666667,"2 gap(s), max 21 min",wunderground_history,KSFO:9:US,KSFO,America/Los_Angeles,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\ksfo\daily\daily_summary.csv,data\snapshots\highest-temperature-in-san-francisco-on-june-8-2026\snapshots_long.csv,data\settlements\san-francisco\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-san-francisco-on-june-8-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-san-francisco-on-june-8-2026,match,64-65 F,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-san-francisco-on-june-9-2026,san-francisco,San Francisco,2026-06-09,67.0,67,F,66-67°F,eq,66,67,snapshot_high,partial,"collection coverage incomplete: 2 gap(s), max 46 min",101,11,1111,False,0.9351851851851852,45.69870436666667,"2 gap(s), max 46 min",wunderground_history,KSFO:9:US,KSFO,America/Los_Angeles,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\ksfo\daily\daily_summary.csv,data\snapshots\highest-temperature-in-san-francisco-on-june-9-2026\snapshots_long.csv,data\settlements\san-francisco\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-san-francisco-on-june-9-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-san-francisco-on-june-9-2026,match,66-67 F,snapshot wu_history_high (daily summary missing/incomplete),2026-06-10T13:41:11.003987+00:00
settlement_ledger_v1,highest-temperature-in-seattle-on-june-6-2026,seattle,Seattle,2026-06-06,62.0,62,F,62-63°F,eq,62,63,daily_summary,partial,collection coverage incomplete: afternoon window not fully covered (captured 20:04-02:54),41,11,451,False,1.0,10.0,afternoon window not fully covered (captured 20:04-02:54),wunderground_history,KSEA:9:US,KSEA,America/Los_Angeles,00:00:00-23:59:59 local,round_half_up whole degree,data\wunderground\ksea\daily\daily_summary.csv,data\snapshots\highest-temperature-in-seattle-on-june-6-2026\snapshots_long.csv,data\settlements\seattle\ledger.jsonl,https://polymarket.com/event/highest-temperature-in-seattle-on-june-6-2026,https://gamma-api.polymarket.com/events/slug/highest-temperature-in-seattle-on-june-6-2026,match,62-63 F,,2026-06-10T13:41:11.003987+00:00
